customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
32,Marion,Vanichkin,Female,17,20/04/95,Legal Assistant,Manufacturing,2,N,0,4
33,Ernst,Hacon,Male,44,25/06/57,Product Engineer,Manufacturing,2,N,1,11
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,2,N,0,20
35,Margaretha,Strettle,Female,40,28/09/63,Information Systems Manager,Health,1,N,1,16
36,Lurette,Stonnell,Female,33,09/11/77,VP Quality Control,Health,2,N,0,22
37,Laurie,Dwerryhouse,Female,46,22/12/85,Social Worker,Health,1,N,0,16
38,Cordi,Merman,Female,37,29/10/55,Senior Cost Accountant,Financial Services,2,N,0,20
39,Hunfredo,Smalley,Male,5,16/04/79,Assistant Media Planner,Entertainment,3,N,0,22
40,Tomasine,Jerche,Female,91,27/10/81,Payment Adjustment Coordinator,Manufacturing,2,N,0,14
41,Basilius,Coupe,Male,64,14/04/76,Food Chemist,Health,3,N,0,16
42,Chiquita,Durnall,Female,24,28/03/77,Accountant III,Manufacturing,3,N,0,18
43,Indira,Belt,Female,38,01/03/83,Director of Sales,Retail,3,N,0,5
44,Neron,Verick,Male,63,18/10/81,Assistant Media Planner,Entertainment,2,N,1,17
45,Trace,Woodhead,Male,64,23/09/75,Senior Financial Analyst,Financial Services,3,N,0,8
46,Kaila,Allin,Female,98,26/02/72,Senior Financial Analyst,Financial Services,2,N,1,15
47,Matthew,Jeaycock,Male,51,22/10/92,Registered Nurse,Health,2,N,0,2
48,Rebbecca,Casone,Female,46,15/08/75,Biostatistician II,Health,3,N,1,8
49,Nolly,Ownsworth,Male,63,26/01/94,VP Quality Control,Health,2,N,0,1
50,Whitby,Schapero,Male,38,01/10/80,Account Executive,Manufacturing,3,N,1,16
51,Fidelio,Dilke,Male,68,05/12/59,Computer Systems Analyst II,Retail,3,N,0,18
52,Curran,Bentson,Male,57,22/06/88,Computer Systems Analyst II,Financial Services,3,N,1,13
53,Agnella,Gocke,Female,22,18/04/54,Software Test Engineer II,Financial Services,3,N,0,16
54,Loralyn,Wonfor,Female,2,24/07/66,Sales Associate,Property,3,N,1,18
55,Linc,Jillions,Male,48,24/09/56,Paralegal,Financial Services,2,N,1,7
56,Reese,Ensor,Male,44,04/07/96,VP Sales,Property,3,N,1,4
57,Abba,Masedon,Male,87,13/06/88,Chief Design Engineer,Property,3,N,1,13
58,Dalenna,Pinnock,Female,26,04/07/67,Office Assistant III,Financial Services,2,N,1,17
59,Niki,Heathcote,Male,60,08/02/00,Physical Therapy Assistant,Financial Services,1,N,0,3
60,Nadiya,Champerlen,Female,18,04/02/70,Physical Therapy Assistant,Manufacturing,3,N,0,10
61,Kacey,Rowbottom,Female,47,29/11/59,Help Desk Operator,Property,1,N,0,13
62,Sorcha,Roggers,Female,38,06/07/79,Help Desk Operator,IT,3,N,1,22
63,Ebony,Zini,Female,58,03/07/65,Senior Quality Engineer,Retail,3,N,1,16
64,Gerek,Yve,Male,73,25/03/78,Legal Assistant,IT,1,N,0,4
65,Yale,Tanser,Male,21,01/04/76,Information Systems Manager,Financial Services,2,N,1,15
66,Anselm,Gawne,Male,46,11/03/02,Account Executive,Argiculture,1,N,0,1
67,Vernon,,Male,67,14/06/60,Web Developer II,Retail,3,N,0,18
68,Dahlia,Eddoes,Female,37,21/04/74,Information Systems Manager,Retail,2,N,0,9
69,Heidi,Milner,Female,16,22/06/69,Web Developer II,Retail,3,N,0,6
70,Foster,Vannoort,Male,78,27/02/93,Paralegal,Financial Services,2,N,0,8
71,Hoyt,Glavias,Male,30,27/01/85,Research Associate,Argiculture,2,N,1,12
72,Sammy,Cheese,Male,93,13/02/72,Administrative Officer,Manufacturing,2,N,1,16
73,Minette,Worters,Female,16,27/05/60,Teacher,Manufacturing,2,N,1,5
74,Pansy,Kiddie,Female,94,19/06/69,Teacher,Manufacturing,3,N,1,6
75,Dollie,Sealy,Female,28,15/07/78,VP Product Management,Property,3,N,0,19
76,Rea,Hasser,Female,20,23/01/78,Statistician II,Retail,1,N,1,18
77,Shermie,Andrin,Male,79,12/09/89,Automation Specialist IV,Financial Services,3,N,0,7
78,Arch,Van der Kruis,Male,37,12/03/85,Business Systems Development Analyst,Argiculture,2,N,0,8
79,Tybi,Silliman,Female,76,02/10/68,Account Executive,Manufacturing,3,N,0,18
80,Pablo,Small,Male,11,24/04/78,Data Coordiator,Entertainment,3,N,0,13
81,Bee,Blazewicz,Female,58,04/09/86,Data Coordiator,Health,1,N,0,13
82,Gleda,Cokely,Female,93,28/06/65,Software Test Engineer III,Property,1,N,0,19
83,Kerr,Simmell,Male,97,26/02/67,Internal Auditor,IT,3,N,1,18
84,Rich,Mathiasen,Male,78,07/02/58,Accountant III,IT,3,N,1,14
85,Kane,Tixall,Male,1,21/05/58,Analyst Programmer,IT,3,N,0,8
86,Job,Sleney,Male,75,04/03/89,Occupational Therapist,Health,1,N,1,7
87,Fields,Langdon,Male,78,23/04/74,Editor,Financial Services,3,N,0,8
88,Malynda,Tumber,Female,41,03/02/66,Help Desk Operator,Property,1,N,1,7
89,Benedicto,Hoxey,Male,74,22/01/67,Speech Pathologist,Health,3,N,1,14
90,Cary,Garron,Male,76,12/11/84,Quality Control Specialist,Manufacturing,3,N,0,11
91,Dylan,Meaker,Male,69,24/02/55,Senior Financial Analyst,Financial Services,2,N,1,17
92,Jodee,Judkins,Female,98,11/09/80,Recruiting Manager,Health,3,N,0,12
93,Gordon,Gowar,Male,63,16/07/76,Project Manager,Retail,3,N,1,10
94,Wallache,Simchenko,Male,33,07/08/74,Civil Engineer,Manufacturing,3,N,0,21
95,Nomi,Mallinder,Female,67,25/12/60,Software Engineer III,Manufacturing,2,N,1,8
96,Heath,Olford,Male,33,31/08/68,Nuclear Power Engineer,Manufacturing,3,N,0,15
97,Arne,Corain,Male,16,27/07/79,Community Outreach Specialist,Financial Services,3,N,1,10
98,Allianora,Babalola,Female,19,17/03/56,Safety Technician IV,Health,3,N,0,7
99,Reggie,Mulliner,Male,97,13/06/98,VP Accounting,Financial Services,3,N,0,3
100,Tripp,Steed,Male,80,11/05/68,General Manager,Financial Services,3,N,1,4
101,Goran,Kwietek,Male,83,29/12/75,Nurse Practicioner,Manufacturing,1,N,0,11
102,Langsdon,Tranfield,Male,51,27/11/56,Quality Control Specialist,Manufacturing,2,N,0,16
103,Ethyl,Runham,Female,49,21/04/97,Product Engineer,Financial Services,2,N,1,4
104,Odille,Panketh,Female,40,06/06/78,Automation Specialist II,Health,3,N,1,9
105,Maribeth,Pristnor,Female,25,17/09/01,Recruiting Manager,Manufacturing,3,N,0,1
106,Glyn,,Male,54,03/07/66,Software Test Engineer III,Health,1,N,1,18
107,Pris,Stallebrass,Female,97,01/07/90,Nurse Practicioner,Financial Services,3,N,1,9
108,Kayle,Mingaud,Female,4,14/03/94,Nurse Practicioner,Financial Services,1,N,0,3
109,Cody,Blabey,Male,16,11/12/78,Marketing Assistant,Financial Services,2,N,1,4
110,Sascha,St. Quintin,Male,23,31/07/00,Marketing Assistant,Financial Services,2,N,0,1
111,Cele,Evason,Female,65,29/08/93,Analyst Programmer,Financial Services,3,N,0,2
112,Shena,Parren,Female,88,12/08/75,Marketing Manager,Retail,1,N,0,12
113,Gage,Nickless,Male,67,06/05/56,Staff Scientist,Retail,3,N,0,20
114,Sunny,Swindells,Female,10,23/10/85,Teacher,Entertainment,2,N,0,8
115,Alberik,Mereweather,Male,77,21/12/81,Account Executive,Health,3,N,0,18
116,Scottie,Swiffen,Male,49,05/02/99,Assistant Professor,Manufacturing,2,N,1,2
117,Nance,Suttling,Female,75,23/02/82,Marketing Manager,Manufacturing,3,N,0,15
118,Prentice,Pearmain,Male,43,12/11/59,Budget/Accounting Analyst IV,Manufacturing,1,N,0,19
119,Willey,Chastanet,Male,9,04/12/81,Associate Professor,Manufacturing,1,N,1,9
120,Sloan,Wagg,Male,80,02/09/78,Legal Assistant,Financial Services,1,N,1,4
121,Myles,Pauncefort,Male,82,02/10/57,Graphic Designer,Manufacturing,3,N,0,15
122,Colver,Itter,Male,87,19/04/79,Quality Control Specialist,Financial Services,3,N,1,12
123,Almeta,Kalinsky,Female,85,03/12/88,Analyst Programmer,Financial Services,1,N,0,15
124,Kath,Cunney,Female,27,03/05/95,Administrative Assistant II,Health,1,N,1,5
125,Darrelle,Antoniewski,Female,94,17/03/60,Computer Systems Analyst II,Property,3,N,0,16
126,Norman,Cliff,Male,53,15/10/92,Administrative Officer,Health,3,N,1,3
127,Merrili,Whitear,Female,81,03/12/74,Compensation Analyst,Financial Services,3,N,0,19
128,Isidro,Cypler,Male,73,17/07/77,Systems Administrator III,Property,3,N,1,12
129,Weidar,Silkstone,Male,64,20/07/85,Financial Advisor,Financial Services,1,N,1,19
130,Raddy,Delete,Male,32,18/07/97,Chemical Engineer,Manufacturing,3,N,0,1
131,Jana,Renyard,Female,57,16/10/64,Administrative Officer,Retail,1,N,0,8
132,Celesta,Willavoys,Female,5,07/07/63,Web Designer I,Manufacturing,3,N,1,9
133,Eldridge,Fiddeman,Male,12,13/06/77,VP Accounting,Financial Services,3,N,1,16
134,Merna,McCulloch,Female,34,01/08/97,Legal Assistant,Telecommunications,2,N,1,5
135,Rosalia,Sigart,Female,18,18/01/75,Internal Auditor,IT,3,N,0,3
136,Mel,Bennet,Male,46,26/05/73,Senior Developer,Manufacturing,1,N,1,7
137,Vaughn,Artin,Male,27,21/11/87,Office Assistant II,Property,1,N,0,10
138,Onofredo,Franc,Male,5,28/04/85,Recruiter,Financial Services,2,N,1,13
139,Gar,,Male,1,28/07/64,Operator,Telecommunications,2,N,0,4
140,Morrie,Flaxon,Male,9,20/05/94,Programmer Analyst III,Manufacturing,3,N,0,2
141,Townsend,Trobe,Male,67,25/06/54,Teacher,Financial Services,1,N,1,10
142,Bentley,Fortesquieu,Male,57,07/08/67,Quality Engineer,Health,2,N,0,17
143,Kendall,Figg,Male,19,01/09/57,Operator,Argiculture,3,N,1,11
144,Jory,Barrabeale,U,71,01/09/57,Environmental Tech,IT,3,N,0,11
145,Filippo,Ferrara,Male,33,21/07/97,Account Executive,Financial Services,3,N,0,4
146,Ricoriki,Matlock,Male,34,08/04/85,Quality Control Specialist,Manufacturing,3,N,0,8
147,Rea,Pattrick,Female,32,06/12/73,Analog Circuit Design manager,Health,3,N,1,10
148,Jaquith,Maffey,Female,69,08/05/81,Programmer Analyst III,Health,3,N,1,5
149,Drucy,Kausche,Female,41,31/01/95,Research Nurse,Health,3,N,1,1
150,Bradly,Crosse,Male,6,23/08/83,Cost Accountant,Financial Services,2,N,0,17
151,Donnie,Brimson,Male,36,31/01/65,Marketing Manager,Manufacturing,3,N,1,13
152,Stephana,Cardew,Female,5,03/03/81,Compensation Analyst,Financial Services,3,N,0,16
153,Lorilyn,Walshe,Female,73,28/07/77,Assistant Media Planner,Entertainment,3,N,1,12
154,Faydra,Dulieu,Female,90,13/02/58,Junior Executive,Entertainment,3,N,0,11
155,Orran,Bogges,Male,4,28/12/85,Quality Engineer,Manufacturing,3,N,0,10
156,Shayla,Rimmington,Female,23,09/09/79,Cost Accountant,Financial Services,3,N,1,11
157,Chad,Houtby,Male,97,23/11/74,Financial Advisor,Financial Services,2,N,0,16
158,Hamlin,Odams,Male,99,03/09/84,Internal Auditor,Financial Services,2,N,0,5
159,Arin,Matskevich,Male,90,12/05/87,Research Nurse,Health,2,N,0,13
160,Wake,Durning,Male,5,15/07/64,Registered Nurse,Health,3,N,0,18
161,Tadd,Bloss,Male,49,21/01/76,Registered Nurse,Health,3,N,0,16
162,Port,Acuna,Male,90,12/08/79,Nurse Practicioner,IT,3,N,0,15
163,Kessia,Helder,Female,58,06/09/76,Librarian,Entertainment,1,N,1,14
164,Aarika,Van Vuuren,Female,55,07/08/99,Senior Editor,Retail,2,N,1,1
165,Aldon,Roelofs,Male,61,25/03/84,Administrative Officer,Argiculture,3,N,1,12
166,Elston,Oleszczak,Male,54,12/06/55,Structural Analysis Engineer,Manufacturing,2,N,0,6
167,Nathalie,Tideswell,Female,95,27/10/69,Structural Analysis Engineer,Health,1,N,1,17
168,Reggie,Broggetti,U,8,27/10/69,General Manager,IT,2,N,1,17
169,Alfy,Bruhnke,Male,20,19/10/57,Data Coordiator,Telecommunications,1,N,1,5
170,Jammal,Gever,Male,80,02/06/75,Pharmacist,Health,1,N,0,21
171,Halli,Davidoff,Female,62,04/12/70,Assistant Manager,Manufacturing,3,N,0,10
172,Hilton,Carney,Male,54,12/09/88,Editor,Manufacturing,2,N,1,6
173,Ebba,Hanselmann,Female,99,02/01/97,General Manager,Health,2,N,0,1
174,Catie,Tosspell,Female,93,26/11/89,Food Chemist,Health,3,N,0,12
175,Templeton,Hambrook,Male,36,28/11/75,Quality Engineer,Manufacturing,2,N,0,5
176,Angelo,Clayal,Male,39,13/04/92,Accountant I,Property,3,N,0,10
177,Ondrea,Pablos,Female,25,09/11/89,Professor,Financial Services,1,N,0,4
178,Matthieu,Bertelmot,Male,2,03/04/67,Professor,Financial Services,2,N,0,8
179,Esteban,Sewill,Male,23,11/05/66,Environmental Tech,Manufacturing,1,N,1,6
180,Trisha,Neasham,Female,16,17/09/71,Web Designer III,Argiculture,2,N,0,14
181,Pavla,Braunle,Female,49,21/11/82,Senior Editor,Manufacturing,3,N,0,9
182,Lydon,Dahlman,Male,99,20/11/92,Sales Associate,Financial Services,2,N,1,7
183,Dannie,Hissie,Female,7,05/08/97,Geologist III,Retail,2,N,0,3
184,Nappie,Paolo,Male,40,13/12/71,Marketing Manager,Manufacturing,1,N,1,7
185,Crosby,Walcot,Male,80,13/12/79,Marketing Manager,Property,3,N,1,13
186,Mireielle,Jeppe,Female,46,06/05/74,Software Test Engineer I,Financial Services,3,N,0,3
187,Pincas,Ather,Male,97,28/01/54,Structural Engineer,Financial Services,3,N,0,11
188,Audry,Seine,Female,54,22/06/75,Safety Technician II,Property,1,N,1,13
189,Umberto,Torricella,Male,73,19/07/81,Safety Technician I,Financial Services,2,N,0,10
190,Hayley,Girardengo,Female,42,04/02/79,Registered Nurse,Health,2,N,0,10
191,Christopher,Heining,Male,22,27/04/60,Help Desk Operator,Health,2,N,1,6
192,Goldi,Osler,Female,2,19/11/78,Junior Executive,Health,3,N,1,8
193,Foss,Hardes,Male,13,22/07/64,Recruiting Manager,Manufacturing,3,N,1,12
194,Ursala,Ferrai,Female,4,16/11/74,Web Developer III,Financial Services,2,N,0,10
195,Talyah,Rylatt,Female,34,14/11/58,Project Manager,Manufacturing,3,N,0,6
196,Swen,Odhams,Male,90,22/02/66,Programmer Analyst II,Manufacturing,1,N,0,6
197,Avis,,Female,32,27/01/77,Programmer Analyst II,Manufacturing,1,N,0,5
198,Vanya,Gumb,Female,82,29/11/81,Assistant Media Planner,Entertainment,3,N,0,16
199,Verla,Alven,Female,61,13/02/78,Junior Executive,Health,3,N,1,21
200,Hube,Weald,Male,7,04/02/57,Physical Therapy Assistant,Property,2,N,1,19
201,Salem,Huie,Male,45,20/04/66,Design Engineer,Manufacturing,3,N,1,11
202,Audie,Pillinger,Female,38,24/06/63,Librarian,Entertainment,2,N,1,16
203,Donovan,Conry,Male,71,13/01/64,Senior Quality Engineer,Argiculture,3,N,1,11
204,Thorny,Hackworth,Male,56,01/10/76,Editor,Financial Services,3,N,0,5
205,Rolfe,Kellard,Male,18,01/12/58,Administrative Assistant II,Financial Services,3,N,1,6
206,Mari,Chevolleau,Female,98,19/07/54,Statistician I,Financial Services,3,N,1,14
207,Adena,Whyman,Female,9,10/08/94,Statistician I,Financial Services,3,N,0,7
208,Rutter,Excell,Male,57,31/10/94,Office Assistant III,Property,1,N,0,5
209,Udall,Bellard,Male,9,28/08/57,Analog Circuit Design manager,Property,2,N,1,6
210,Albrecht,Thomasson,Male,50,18/11/63,Assistant Manager,Property,3,N,0,18
211,Beitris,,Female,6,04/03/74,VP Marketing,Manufacturing,3,N,1,5
212,Nanice,Ellse,Female,21,19/11/01,Desktop Support Technician,IT,2,N,0,1
213,Lockwood,Exroll,Male,13,14/05/96,Actuary,Financial Services,1,N,1,6
214,Jeramie,Cellier,Male,82,29/11/57,Food Chemist,Health,3,N,0,6
215,Debera,Foxworthy,Female,37,24/06/74,Assistant Professor,Retail,1,N,1,18
216,Cinderella,Parcall,Female,12,12/01/95,Quality Engineer,Financial Services,1,N,1,7
217,Jeralee,Quartly,Female,63,09/12/79,Quality Engineer,Manufacturing,1,N,0,16
218,Stefa,Dunnan,Female,37,06/08/93,Administrative Officer,Property,1,N,1,8
219,Markus,Mughal,Male,9,25/11/64,Database Administrator III,Health,3,N,0,7
220,Jeniffer,Apark,Female,79,10/05/54,Electrical Engineer,Manufacturing,1,N,0,9
221,Mara,Bloore,Female,14,10/03/80,Tax Accountant,Manufacturing,3,N,0,14
222,Nev,Larive,Male,89,03/09/78,Clinical Specialist,Health,3,N,0,16
223,Ossie,Meaton,Male,13,26/11/83,VP Sales,Health,2,N,1,14
224,Morgun,Girvan,Male,2,03/12/67,Compensation Analyst,Financial Services,2,N,0,17
225,Brittaney,Pring,Female,84,11/03/77,Pharmacist,Health,2,N,0,13
226,Bondie,Letty,Male,96,11/11/77,Database Administrator IV,Manufacturing,3,N,0,20
227,Wendall,McKeand,Male,99,14/08/73,Accountant I,Entertainment,3,N,0,18
228,Lucia,Pickervance,Female,59,25/05/86,Systems Administrator II,Manufacturing,1,N,0,12
229,Vaughn,Lambis,Male,30,06/03/66,Systems Administrator II,Property,1,N,0,19
230,Maegan,Scyone,Female,74,24/06/54,Internal Auditor,Property,1,N,0,11
231,Basile,Winsor,Male,48,05/08/95,Design Engineer,Financial Services,3,N,1,3
232,Zaria,Koeppke,Female,94,11/11/87,Professor,Retail,3,N,0,12
233,Art,Barwell,Male,34,08/08/86,Environmental Tech,Property,3,N,0,13
234,Mead,Alpes,Female,71,12/08/69,Chief Design Engineer,Retail,1,N,0,12
235,Leona,Phateplace,Female,30,26/12/76,Social Worker,Health,3,N,0,15
236,Tybalt,Gillingwater,Male,79,30/10/54,Research Nurse,Health,2,N,0,14
237,Reginald,Dartan,Male,18,07/03/74,Account Coordinator,Property,1,N,1,11
238,Max,Bilborough,Male,54,04/02/84,Programmer III,Property,3,N,1,14
239,Wells,Pressman,Male,62,13/12/92,Registered Nurse,Health,2,N,0,3
240,Gavin,Fawks,Male,49,28/07/89,Administrative Assistant III,IT,1,N,1,15
241,Quillan,Duigan,Male,94,09/05/87,Quality Engineer,Entertainment,3,N,0,20
242,Taite,Droghan,Male,17,20/03/92,Nurse,Property,2,N,0,8
243,Barbara,Croxley,Female,94,02/09/76,Teacher,Manufacturing,1,N,1,14
244,Germayne,Sperry,Male,57,25/11/74,Teacher,Retail,2,N,0,8
245,Noell,Grahlmans,Female,6,26/09/01,Associate Professor,Financial Services,2,N,0,1
246,Binny,Whight,Female,63,28/02/91,Technical Writer,Manufacturing,1,N,0,9
247,Kristal,Joysey,Female,62,06/05/83,Staff Accountant II,Financial Services,1,N,1,13
248,Inger,Eskell,Female,76,15/04/78,Clinical Specialist,Health,2,N,1,12
249,D'arcy,Slay,Male,65,13/09/92,Quality Control Specialist,IT,1,N,0,9
250,Kristofer,,Male,53,15/04/88,Legal Assistant,Health,3,N,1,13
251,Mala,,Female,88,24/12/77,VP Sales,Financial Services,2,N,1,10
252,Anthea,Ruskin,Female,39,24/01/83,Account Coordinator,Property,3,N,1,13
253,Amalee,Choak,Female,82,11/05/97,Food Chemist,Health,3,N,1,1
254,Barbie,Rubi,Female,98,22/09/61,Information Systems Manager,Retail,3,N,0,14
255,Keeley,Kruger,Female,2,15/01/54,Desktop Support Technician,IT,3,N,0,5
256,Linell,Beadle,Female,16,07/05/75,Director of Sales,Health,1,N,1,21
257,Marissa,,Female,70,08/02/66,Sales Associate,Manufacturing,2,N,1,19
258,Othella,Keher,Female,24,03/05/92,Administrative Officer,Manufacturing,1,N,0,9
259,Venita,Dymick,Female,70,22/07/83,Senior Developer,Health,1,N,1,3
260,Farand,Marriner,Female,47,30/08/79,Senior Quality Engineer,Health,1,N,1,22
261,Marve,Pryn,Male,74,15/10/77,Structural Engineer,Health,3,N,0,8
262,Cordie,Petrelli,Male,97,23/12/77,Structural Engineer,Health,1,N,1,10
263,Tonia,Leigh,Female,89,19/11/85,Dental Hygienist,Health,1,N,0,7
264,Jedd,Spiby,Male,31,07/12/77,Technical Writer,Health,3,N,0,11
265,Pennie,Stoile,Male,74,05/10/65,Sales Representative,Retail,1,N,1,18
266,Lelia,Garatty,Female,69,19/07/89,Account Executive,Retail,2,N,0,18
267,Edgar,Buckler,U,53,19/07/89,Account Executive,IT,1,N,0,18
268,Kacie,Kidston,Female,60,18/10/78,Chemical Engineer,Manufacturing,3,N,0,10
269,Zacherie,Grindley,Male,55,19/09/54,Nurse Practicioner,Property,3,N,1,9
270,Auberta,Roundtree,Female,38,10/12/70,Budget/Accounting Analyst III,Property,3,N,1,17
271,Doll,Burtwell,Female,51,13/02/91,Financial Advisor,Financial Services,3,N,0,4
272,Arlie,Crean,Female,22,06/06/87,Product Engineer,Retail,3,N,1,1
273,Nevile,Abraham,Male,54,22/04/63,Computer Systems Analyst IV,Retail,3,N,0,19
274,Tessi,Hesse,Female,66,15/09/76,Social Worker,Health,3,N,1,14
275,Dud,,Male,7,27/07/55,VP Sales,Health,1,N,0,13
276,Goldi,Dwine,Female,47,25/03/90,VP Sales,Financial Services,3,N,0,22
277,Jehanna,Alvarado,Female,69,19/02/56,VP Product Management,Financial Services,1,N,0,15
278,Sydney,Georger,Male,22,30/07/97,Executive Secretary,Financial Services,2,N,1,4
279,Tamera,Hinckes,Female,0,09/09/81,Web Designer I,Manufacturing,3,N,0,11
280,Welch,MacAllaster,Male,15,22/03/95,Geologist I,Manufacturing,2,N,1,5
281,Jeanette,Sizzey,Female,51,27/12/72,Cost Accountant,Financial Services,1,N,1,8
282,Lauren,Curcher,Male,82,27/10/89,VP Quality Control,Argiculture,1,N,1,11
283,Sari,Noye,Female,34,04/02/91,Assistant Manager,Retail,3,N,0,2
284,Seth,Moorman,Male,38,11/04/86,Financial Analyst,Financial Services,1,N,1,9
285,Julee,Janovsky,Female,3,19/11/77,Community Outreach Specialist,Manufacturing,3,N,0,12
286,Kiley,Canaan,Male,99,01/08/89,Accounting Assistant II,Manufacturing,2,N,1,11
287,Hannie,Wodham,Female,41,06/05/85,Nuclear Power Engineer,Manufacturing,2,N,0,4
288,Ebenezer,Seedman,Male,71,08/09/85,Nuclear Power Engineer,Manufacturing,1,N,0,9
289,Modestia,Lithgow,Female,43,12/04/70,Clinical Specialist,Health,1,N,0,10
290,Giorgio,Kevane,U,42,12/04/70,Senior Sales Associate,IT,3,N,0,10
291,Aime,Burston,Female,63,22/10/71,Assistant Media Planner,Entertainment,3,N,0,4
292,Gelya,Gerant,Female,42,24/11/61,VP Product Management,Entertainment,2,N,1,9
293,Virgilio,Willcocks,Male,80,10/12/89,Administrative Assistant III,Manufacturing,3,N,1,20
294,Magnum,Slowan,Male,39,01/04/59,Recruiting Manager,Manufacturing,1,N,0,5
295,Lena,Chape,Female,64,26/12/64,Database Administrator II,Manufacturing,3,N,1,18
296,Marshal,Rathbone,Male,34,19/06/72,Database Administrator II,Health,1,N,1,17
297,Cecile,MacLise,Female,33,27/04/59,Electrical Engineer,Manufacturing,1,N,0,16
298,Maurise,Lenglet,Male,69,15/08/56,Engineer I,Manufacturing,1,N,0,9
299,Corabelle,Hartnell,Female,80,15/09/56,Budget/Accounting Analyst I,Financial Services,3,N,1,7
300,Malachi,Hadcroft,Male,88,22/06/56,Clinical Specialist,Health,3,N,0,9
301,Hildy,Bilbrook,Female,54,10/10/80,Developer IV,Manufacturing,1,N,0,19
302,Laurice,Colgrave,Female,32,27/03/77,Developer IV,Health,3,N,0,13
303,Shane,Smetoun,Female,59,15/08/74,Assistant Professor,Argiculture,3,N,1,14
304,Paddy,Mumbray,Male,36,27/03/69,VP Marketing,Manufacturing,3,N,1,15
305,Cris,Chellam,Female,1,17/03/74,Financial Analyst,Financial Services,3,N,0,11
306,Ruy,Adanet,Male,19,02/08/73,Registered Nurse,Health,1,N,0,18
307,Ruben,Handlin,Male,55,18/08/84,Clinical Specialist,Health,2,N,1,12
308,Iver,Dobsons,Male,2,09/03/83,Database Administrator I,IT,1,N,0,4
309,Maurizia,Ligerton,Female,53,02/10/74,Clinical Specialist,Health,3,N,1,21
310,Myranda,Clowser,Female,0,13/02/85,Account Coordinator,Financial Services,3,N,1,18
311,Jaimie,Halms,Female,86,16/08/57,Internal Auditor,Health,1,N,0,12
312,Garek,Prattin,Male,44,17/03/58,Desktop Support Technician,Financial Services,2,N,1,6
313,Theo,McKune,Male,70,22/12/87,Operator,Manufacturing,3,N,1,13
314,Catie,Advani,Female,27,25/08/62,Marketing Assistant,Retail,1,N,1,5
